Price,Close,High,Low,Open,Volume,sma_20,sma_50,rsi,macd,macd_signal,macd_diff,stochrsi,obv,bb_width,atr,momentum
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,,,,,,,,,,,
Datetime,,,,,,,,,,,,,,,,
2025-07-12 12:15:00+00:00,117779.25,117805.6640625,117715.796875,117797.2421875,824287232,117934.262890625,117811.4534375,44.77691360497117,7.130902245407924,47.63731984560073,-40.506417600192805,0.034758623633477224,3761475584.0,0.004493283369333586,127.0431703434024,-126.0546875
2025-07-12 12:30:00+00:00,117527.8203125,117753.2265625,117517.1484375,117753.2265625,633331712,117921.184765625,117810.9375,36.5162693052924,-23.486548910092097,33.412546094462165,-56.89909500455426,0.0,3128143872.0,0.005319176056925664,136.69019835458795,-411.6953125
2025-07-12 12:45:00+00:00,117501.6953125,117561.8984375,117355.59375,117542.125,1778675712,117908.228515625,117809.97625,35.77769107336131,-49.290973047187435,16.871842266132248,-66.16281531331968,0.0,1349468160.0,0.0060624208874751236,141.66266186497452,-520.21875
2025-07-12 13:00:00+00:00,117461.9453125,117566.578125,117461.9453125,117537.9375,905011200,117888.284375,117812.33765625,34.62999205185827,-72.11733414551418,-0.9259930161970367,-71.19134112931714,0.0,444456960.0,0.006902390587713484,139.0176726246192,-572.7421875
2025-07-12 13:15:00+00:00,117356.2578125,117477.0390625,117351.375,117469.140625,0,117861.13125,117812.648125,31.716756231866796,-97.61029701006191,-20.262853814970015,-77.3474431950919,0.0,444456960.0,0.007944165383569731,138.06384333000352,-824.5546875
2025-07-12 13:30:00+00:00,117308.75,117474.59375,117308.75,117366.421875,713093120,117834.588671875,117805.96140625,30.475668226005908,-120.26084501492733,-40.26245205496148,-79.99839295996586,0.0,-268636160.0,0.008937550402887753,140.0481223778604,-618.078125
2025-07-12 13:45:00+00:00,117492.2265625,117492.4921875,117309.0390625,117375.8125,155279360,117813.934765625,117802.3571875,40.206848207685894,-122.00019991886802,-56.61000162774279,-65.39019829112523,0.32623282692819816,-113356800.0,0.009267336234901178,143.1691270294418,-608.71875
2025-07-12 14:00:00+00:00,117682.8984375,117741.5078125,117456.984375,117509.0234375,580558848,117801.10390625,117803.205625,48.304710372909184,-106.7623346735927,-66.64046823691277,-40.12186643667994,0.6096591949547934,467202048.0,0.009262457630429911,153.26586349162451,-450.875
